# FTRANSFER.CLOCKS.01 frozen data interface (a): g_*rho(T), g_*s(T)
# Source (named in the preregistration): K. Saikawa & S. Shirai,
#   'Primordial gravitational waves, precisely: the role of thermodynamics
#   in the Standard Model', JCAP 05 (2018) 035, arXiv:1803.01038,
#   Appendix A tabulated data, file standardmodel2018.dat,
#   https://member.ipmu.jp/satoshi.shirai/EOS2018 (retrieved 2026-08-05).
# Full source file sha256: 268a51b869198b13aef052185323e0b0015f78f4a0902f19a79e71d1017dfaad
# Curation rule (deterministic): data rows subsampled every 20th row of the
#   10000-row log(T)-spaced source table, plus the final row (501 rows).
#   Values are copied verbatim (no reformatting, no interpolation).
# Columns: T_GeV,gstar_rho,gstar_rho_err,gstar_s,gstar_s_err
1740993.1,104.52415,0.34045276,104.52024,0.33594897
1932855.2,104.52877,0.33446795,104.52487,0.33006764
2145861,104.53339,0.32848943,104.5295,0.32418964
2382340.6,104.53848,0.32296696,104.5346,0.31876482
2644880.9,104.54356,0.3174558,104.5397,0.31334856
2936353.9,104.54818,0.31151273,104.54432,0.30749774
3259947.9,104.55279,0.30649307,104.54895,0.3025677
3619202.9,104.55766,0.30122915,104.55383,0.29739096
4018048.7,104.56214,0.29635819,104.55832,0.29260475
4460848.5,104.56712,0.291003,104.56331,0.28733199
4952445.9,104.57174,0.28618212,104.56794,0.28259128
5498218.7,104.57661,0.28168848,104.57283,0.27817563
6104137.1,104.58114,0.27680619,104.57737,0.27336923
6776829.4,104.58605,0.27246198,104.5823,0.26909885
7523654.1,104.5902,0.26797344,104.58646,0.26468219
8352780.9,104.59507,0.26368032,104.59134,0.26045903
9273279.8,104.5999,0.25943983,104.59618,0.25628664
10295220,104.60453,0.25530769,104.60083,0.25222081
11429781,104.60867,0.2509569,104.60498,0.2479346
12689373,104.61328,0.24694777,104.60961,0.24398837
14087776,104.61791,0.2429374,104.61424,0.24003926
15640287,104.6221,0.23932646,104.61845,0.23648801
17363888,104.62713,0.23587144,104.62349,0.23309115
19277435,104.63158,0.23204939,104.62796,0.22932577
21401860,104.63591,0.22835954,104.6323,0.22569116
23760402,104.64013,0.22477439,104.63654,0.22215985
26378862,104.64512,0.22134558,104.64154,0.21878353
29285884,104.64915,0.21797382,104.64558,0.21546294
32513266,104.6539,0.21478352,104.65035,0.21232255
36096315,104.65807,0.21128107,104.65453,0.20886877
40074226,104.66267,0.20825286,104.65915,0.20588803
44490513,104.66673,0.20483348,104.66322,0.20251495
49393487,104.67126,0.20192911,104.66776,0.19965577
54836781,104.67561,0.19916933,104.67212,0.19694006
60879941,104.67976,0.19658357,104.67628,0.19439732
67589074,104.68381,0.19324906,104.68036,0.1911048
75037570,104.68836,0.1903058,104.68492,0.18820253
83306912,104.69235,0.1879232,104.68892,0.18585993
92487556,104.69689,0.18499721,104.69347,0.182973
1.0267993e+08,104.70099,0.18250727,104.69759,0.1805212
1.1399554e+08,104.70546,0.17965738,104.70207,0.17770855
1.2655815e+08,104.70948,0.17726147,104.70611,0.17534902
1.405052e+08,104.71352,0.17483963,104.71017,0.17296271
1.5598924e+08,104.71762,0.17237489,104.71427,0.17053267
1.7317968e+08,104.72178,0.16984932,104.71845,0.16804101
1.9226454e+08,104.72594,0.16731914,104.72263,0.16554396
2.1345261e+08,104.72969,0.16520328,104.72639,0.16346049
2.3697566e+08,104.73379,0.16274843,104.7305,0.16103727
2.6309101e+08,104.73777,0.16037451,104.73449,0.15869427
2.9208434e+08,104.74234,0.15840237,104.73908,0.15675237
3.2427282e+08,104.74627,0.15611846,104.74303,0.15449801
3.6000855e+08,104.74997,0.15407917,104.74673,0.15248762
3.9968246e+08,104.75398,0.15168072,104.75076,0.15011742
4.4372853e+08,104.75828,0.14998686,104.75508,0.14845119
4.926286e+08,104.76211,0.14781587,104.75892,0.14630721
5.469176e+08,104.76569,0.14590497,104.76251,0.14442275
6.0718938e+08,104.77024,0.14397694,104.76708,0.14252056
6.7410327e+08,104.77379,0.14205199,104.77064,0.1406209
7.4839126e+08,104.77735,0.14015562,104.77422,0.13874928
8.3086598e+08,104.78142,0.13867105,104.7783,0.13728892
9.2242963e+08,104.7855,0.13626845,104.78239,0.13491002
1.0240838e+09,104.78929,0.13453855,104.7862,0.1332033
1.1369406e+09,104.79314,0.13289241,104.79006,0.13157986
1.2622345e+09,104.79672,0.13099565,104.79365,0.12970532
1.4013362e+09,104.80078,0.1295291,104.79773,0.12826051
1.5557672e+09,104.80438,0.12760905,104.80134,0.12636176
1.7272169e+09,104.80824,0.12635031,104.80522,0.12512386
1.9175608e+09,104.81153,0.12475343,104.80851,0.12354739
2.1288811e+09,104.81559,0.12328998,104.81259,0.12210393
2.3634895e+09,104.81919,0.1213879,104.8162,0.12022142
2.6239524e+09,104.82306,0.12012604,104.82008,0.11897874
2.9131189e+09,104.82638,0.11850039,104.82342,0.11737187
3.2341525e+09,104.83044,0.11704907,104.82749,0.11593895
3.5905647e+09,104.83355,0.11564019,104.83061,0.1145481
3.9862546e+09,104.83765,0.11415307,104.83473,0.11307864
4.4255505e+09,104.84076,0.11274347,104.83785,0.11168635
4.913258e+09,104.84482,0.11130312,104.84192,0.11026296
5.4547122e+09,104.84793,0.10985452,104.84505,0.10883098
6.055836e+09,104.85152,0.10892484,104.84865,0.10791759
6.7232054e+09,104.85551,0.10734037,104.85265,0.10634909
7.4641206e+09,104.85874,0.10603427,104.8559,0.10505864
8.2866867e+09,104.86232,0.10507748,104.85949,0.10411719
9.1999017e+09,104.86545,0.10366056,104.86263,0.10271532
1.0213756e+10,104.86941,0.10233134,104.8666,0.10140086
1.1339339e+10,104.87265,0.10079919,104.86986,0.099883172
1.2588964e+10,104.87629,0.09979042,104.87351,0.098888586
1.3976302e+10,104.87963,0.09855251,104.87687,0.097664589
1.5516528e+10,104.88303,0.097399286,104.88028,0.096525009
1.7226491e+10,104.88661,0.09644964,104.88387,0.095588747
1.9124896e+10,104.88977,0.095017922,104.88704,0.094170162
2.1232511e+10,104.89307,0.094354923,104.89035,0.093520039
2.357239e+10,104.8963,0.093430536,104.89359,0.092608292
2.6170131e+10,104.89963,0.092148724,104.89694,0.091338878
2.9054149e+10,104.90323,0.091188179,104.90055,0.090390496
3.2255994e+10,104.90638,0.089772586,104.90371,0.088986842
3.5810691e+10,104.90979,0.088997843,104.90713,0.08822382
3.9757125e+10,104.91265,0.087836503,104.91,0.087073978
4.4138467e+10,104.91627,0.086898896,104.91363,0.086147657
4.9002644e+10,104.91957,0.086291681,104.91695,0.085551523
5.4402866e+10,104.92255,0.084987307,104.91994,0.08425802
6.0398208e+10,104.92617,0.084017274,104.92357,0.083298665
6.7054252e+10,104.92884,0.083078875,104.92625,0.082370751
7.444381e+10,104.93247,0.082099733,104.9299,0.081401899
8.2647717e+10,104.93537,0.0814056,104.9328,0.08071787
9.1755717e+10,104.93875,0.080203875,104.9362,0.079526072
1.0186744e+11,104.94188,0.079727858,104.93934,0.079059799
1.1309351e+11,104.94467,0.078679642,104.94214,0.078021158
1.2555671e+11,104.94818,0.077827319,104.94566,0.077178234
1.393934e+11,104.95087,0.076878492,104.94836,0.076238641
1.5475493e+11,104.95401,0.076393557,104.95151,0.075762773
1.7180933e+11,104.95724,0.075061324,104.95475,0.074439452
1.9074318e+11,104.96031,0.074491827,104.95783,0.07387871
2.1176359e+11,104.96348,0.074024134,104.96101,0.07341962
2.3510051e+11,104.96613,0.073067741,104.96368,0.072471673
2.6100921e+11,104.96977,0.072092767,104.96733,0.071505008
2.8977312e+11,104.97244,0.071166153,104.97001,0.070586551
3.217069e+11,104.97559,0.070678128,104.97317,0.070106545
3.5715986e+11,104.97828,0.069734715,104.97587,0.069171013
3.9651983e+11,104.98143,0.069247772,104.97903,0.06869182
4.4021738e+11,104.9841,0.068282438,104.98171,0.067734097
4.8873051e+11,104.98727,0.067819556,104.9849,0.067278699
5.4258992e+11,104.98996,0.066845682,104.98759,0.066312181
6.0238478e+11,104.99313,0.066384058,104.99077,0.065857794
6.687692e+11,104.99562,0.065908971,104.99328,0.065389815
7.4246936e+11,104.99847,0.06545395,104.99614,0.064941786
8.2429147e+11,105.00118,0.064463073,104.99885,0.063957782
9.1513059e+11,105.00435,0.06400269,105.00203,0.063504158
1.0159804e+12,105.00702,0.063045582,105.00472,0.062553695
1.1279442e+12,105.00997,0.062807112,105.00767,0.062321762
1.2522467e+12,105.01241,0.062075543,105.01012,0.061596621
1.3902476e+12,105.01558,0.06161923,105.01331,0.061146632
1.5434566e+12,105.01829,0.060642398,105.01602,0.06017602
